id,name,area,salary_from,salary_to,currency,employer,published_at
102593350,.NET Разработчик (Backend) - Уровень - Middle,Ташкент,10000000,25000000,UZS,DT ECOSYSTEM,2024-06-30T13:42:00+0300
102593327,"JavaScript(NodeJs, Express), back-end - уровень midlle.",Ташкент,15000000,25000000,UZS,DT ECOSYSTEM,2024-06-30T13:41:40+0300
